Arachis_gene_ID,Lotus_gene_ID,Percent_identity,Alignment_length,Mismatches,Gap_opens,Q_start,Q_end,S_start,S_end,E_value,Bit_score
SDMP01000015.1,XM_057592095.1,86.641,262,35,0,74524389,74524650,1733,1994,1.92e-72,291.0
SDMP01000015.1,XM_057592095.1,85.638,188,27,0,74523260,74523447,1441,1628,1.19e-44,198.0
SDMP01000015.1,XM_057592095.1,87.037,108,14,0,74524172,74524279,1626,1733,7.39e-22,122.0
SDMP01000015.1,XM_057594292.1,84.415,1726,267,2,141113656,141115380,152,1876,0.0,1696.0
SDMP01000015.1,XM_057594293.1,84.446,1723,266,2,141113659,141115380,92,1813,0.0,1696.0
SDMP01000015.1,XM_057594291.1,84.428,1721,266,2,141113661,141115380,146,1865,0.0,1692.0
SDMP01000015.1,XM_057598179.1,87.864,1442,170,2,9235517,9236958,1564,128,0.0,1688.0
SDMP01000015.1,XM_057598179.1,87.396,1444,169,9,9247749,9249186,1564,128,0.0,1646.0
SDMP01000015.1,XM_057583001.1,84.468,1719,251,11,141342050,141343760,2017,307,0.0,1681.0
SDMP01000015.1,XM_057583001.1,80.658,1003,161,16,141340541,141341519,3007,2014,0.0,747.0
SDMP01000015.1,XM_057589953.1,84.048,1749,272,5,62746,64492,768,2511,0.0,1677.0
SDMP01000015.1,XM_057593294.1,89.732,1305,134,0,148117047,148118351,9399,8095,0.0,1668.0
SDMP01000015.1,XM_057593294.1,89.078,1236,135,0,148127629,148128864,3216,1981,0.0,1535.0
SDMP01000015.1,XM_057593294.1,89.89,999,99,2,148125974,148126971,4211,3214,0.0,1284.0
SDMP01000015.1,XM_057593294.1,86.685,721,90,3,148133060,148133780,1067,353,0.0,795.0
SDMP01000015.1,XM_057593294.1,87.087,666,72,9,148120798,148121450,6649,5985,0.0,741.0
SDMP01000015.1,XM_057593294.1,89.655,551,57,0,148113158,148113708,11695,11145,0.0,702.0
SDMP01000015.1,XM_057593294.1,86.327,490,67,0,148115481,148115970,10438,9949,8.01e-146,534.0
SDMP01000015.1,XM_057593294.1,88.517,418,48,0,148118606,148119023,8101,7684,1.75e-137,507.0
SDMP01000015.1,XM_057593294.1,86.925,413,54,0,148119118,148119530,7669,7257,1.07e-124,464.0
SDMP01000015.1,XM_057593294.1,90.294,340,33,0,148125535,148125874,4546,4207,3.86e-119,446.0
SDMP01000015.1,XM_057593294.1,92.308,286,22,0,148113835,148114120,11150,10865,1.82e-107,407.0
SDMP01000015.1,XM_057593294.1,87.427,342,43,0,148119798,148120139,7247,6906,1.4200000000000001e-103,394.0
SDMP01000015.1,XM_057593294.1,83.529,425,56,5,146898636,146899060,10438,10028,8.54e-101,385.0
SDMP01000015.1,XM_057593294.1,91.288,264,23,0,148124940,148125203,4806,4543,1.44e-93,361.0
SDMP01000015.1,XM_057593294.1,90.038,261,26,0,148120224,148120484,6908,6648,6.74e-87,339.0
SDMP01000015.1,XM_057593294.1,90.0,260,26,0,148116430,148116689,9655,9396,2.4300000000000003e-86,337.0
SDMP01000015.1,XM_057593294.1,92.982,228,16,0,148124631,148124858,5023,4796,3.14e-85,333.0
SDMP01000015.1,XM_057593294.1,82.576,396,48,11,148124149,148124544,5397,5023,4.06e-84,329.0
SDMP01000015.1,XM_057593294.1,92.478,226,17,0,148122113,148122338,5989,5764,1.89e-82,324.0
SDMP01000015.1,XM_057593294.1,91.613,155,13,0,148122743,148122897,5545,5391,1.19e-49,215.0
SDMP01000015.1,XM_057593294.1,91.473,129,11,0,148132295,148132423,1194,1066,1.5599999999999999e-38,178.0
SDMP01000015.1,XM_057593294.1,89.231,130,13,1,148112377,148112506,12030,11902,1.57e-33,161.0
SDMP01000015.1,XM_057593292.1,89.732,1305,134,0,148117047,148118351,9394,8090,0.0,1668.0
SDMP01000015.1,XM_057593292.1,89.078,1236,135,0,148127629,148128864,3211,1976,0.0,1535.0
SDMP01000015.1,XM_057593292.1,89.89,999,99,2,148125974,148126971,4206,3209,0.0,1284.0
SDMP01000015.1,XM_057593292.1,86.685,721,90,3,148133060,148133780,1062,348,0.0,795.0
SDMP01000015.1,XM_057593292.1,87.087,666,72,9,148120798,148121450,6644,5980,0.0,741.0
SDMP01000015.1,XM_057593292.1,89.655,551,57,0,148113158,148113708,11690,11140,0.0,702.0
SDMP01000015.1,XM_057593292.1,86.327,490,67,0,148115481,148115970,10433,9944,8.01e-146,534.0
SDMP01000015.1,XM_057593292.1,88.517,418,48,0,148118606,148119023,8096,7679,1.75e-137,507.0
SDMP01000015.1,XM_057593292.1,86.925,413,54,0,148119118,148119530,7664,7252,1.07e-124,464.0
SDMP01000015.1,XM_057593292.1,90.294,340,33,0,148125535,148125874,4541,4202,3.86e-119,446.0
SDMP01000015.1,XM_057593292.1,92.308,286,22,0,148113835,148114120,11145,10860,1.82e-107,407.0
SDMP01000015.1,XM_057593292.1,87.427,342,43,0,148119798,148120139,7242,6901,1.4200000000000001e-103,394.0
SDMP01000015.1,XM_057593292.1,83.529,425,56,5,146898636,146899060,10433,10023,8.54e-101,385.0
SDMP01000015.1,XM_057593292.1,91.288,264,23,0,148124940,148125203,4801,4538,1.44e-93,361.0
SDMP01000015.1,XM_057593292.1,90.038,261,26,0,148120224,148120484,6903,6643,6.74e-87,339.0
SDMP01000015.1,XM_057593292.1,90.0,260,26,0,148116430,148116689,9650,9391,2.4300000000000003e-86,337.0
SDMP01000015.1,XM_057593292.1,92.982,228,16,0,148124631,148124858,5018,4791,3.14e-85,333.0
SDMP01000015.1,XM_057593292.1,82.576,396,48,11,148124149,148124544,5392,5018,4.06e-84,329.0
SDMP01000015.1,XM_057593292.1,92.478,226,17,0,148122113,148122338,5984,5759,1.89e-82,324.0
SDMP01000015.1,XM_057593292.1,91.613,155,13,0,148122743,148122897,5540,5386,1.19e-49,215.0
SDMP01000015.1,XM_057593292.1,91.473,129,11,0,148132295,148132423,1189,1061,1.5599999999999999e-38,178.0
SDMP01000015.1,XM_057593292.1,89.231,130,13,1,148112377,148112506,12025,11897,1.57e-33,161.0
SDMP01000015.1,XM_057593295.1,89.732,1305,134,0,148117047,148118351,9420,8116,0.0,1668.0
SDMP01000015.1,XM_057593295.1,89.078,1236,135,0,148127629,148128864,3237,2002,0.0,1535.0
SDMP01000015.1,XM_057593295.1,89.89,999,99,2,148125974,148126971,4232,3235,0.0,1284.0
SDMP01000015.1,XM_057593295.1,86.685,721,90,3,148133060,148133780,1193,479,0.0,795.0
SDMP01000015.1,XM_057593295.1,87.087,666,72,9,148120798,148121450,6670,6006,0.0,741.0
SDMP01000015.1,XM_057593295.1,89.655,551,57,0,148113158,148113708,11716,11166,0.0,702.0
SDMP01000015.1,XM_057593295.1,86.327,490,67,0,148115481,148115970,10459,9970,8.01e-146,534.0
SDMP01000015.1,XM_057593295.1,88.517,418,48,0,148118606,148119023,8122,7705,1.75e-137,507.0
SDMP01000015.1,XM_057593295.1,86.925,413,54,0,148119118,148119530,7690,7278,1.07e-124,464.0
SDMP01000015.1,XM_057593295.1,90.294,340,33,0,148125535,148125874,4567,4228,3.86e-119,446.0
SDMP01000015.1,XM_057593295.1,92.308,286,22,0,148113835,148114120,11171,10886,1.82e-107,407.0
SDMP01000015.1,XM_057593295.1,87.427,342,43,0,148119798,148120139,7268,6927,1.4200000000000001e-103,394.0
SDMP01000015.1,XM_057593295.1,83.529,425,56,5,146898636,146899060,10459,10049,8.54e-101,385.0
SDMP01000015.1,XM_057593295.1,91.288,264,23,0,148124940,148125203,4827,4564,1.44e-93,361.0
SDMP01000015.1,XM_057593295.1,90.038,261,26,0,148120224,148120484,6929,6669,6.74e-87,339.0
SDMP01000015.1,XM_057593295.1,90.0,260,26,0,148116430,148116689,9676,9417,2.4300000000000003e-86,337.0
SDMP01000015.1,XM_057593295.1,92.982,228,16,0,148124631,148124858,5044,4817,3.14e-85,333.0
SDMP01000015.1,XM_057593295.1,82.576,396,48,11,148124149,148124544,5418,5044,4.06e-84,329.0
SDMP01000015.1,XM_057593295.1,92.478,226,17,0,148122113,148122338,6010,5785,1.89e-82,324.0
SDMP01000015.1,XM_057593295.1,91.613,155,13,0,148122743,148122897,5566,5412,1.19e-49,215.0
SDMP01000015.1,XM_057593295.1,91.473,129,11,0,148132295,148132423,1320,1192,1.5599999999999999e-38,178.0
SDMP01000015.1,XM_057593295.1,89.231,130,13,1,148112377,148112506,12051,11923,1.57e-33,161.0
SDMP01000015.1,XM_057597859.1,88.476,1371,153,4,9235591,9236957,1497,128,0.0,1652.0
SDMP01000015.1,XM_057597859.1,87.974,1372,156,7,9247821,9249185,1497,128,0.0,1611.0
SDMP01000015.1,XM_057597859.1,90.909,121,11,0,26103504,26103624,460,580,4.36e-34,163.0
SDMP01000015.1,XM_057566052.1,82.106,1928,336,8,154457249,154459173,2357,436,0.0,1640.0
SDMP01000015.1,XM_057566052.1,80.906,309,51,7,154456361,154456665,2987,2683,2.5300000000000003e-56,237.0
SDMP01000015.1,XM_057566052.1,84.874,238,33,3,154456036,154456272,3215,2980,2.5300000000000003e-56,237.0
SDMP01000015.1,XM_057566052.1,90.964,166,15,0,154457006,154457171,2516,2351,1.97e-52,224.0
SDMP01000015.1,XM_057592811.1,80.762,2126,385,20,143368386,143370502,2194,84,0.0,1639.0
SDMP01000015.1,XM_057568736.1,84.229,1693,256,10,141342050,141343738,2004,319,0.0,1637.0
SDMP01000015.1,XM_057568736.1,81.356,1003,157,14,141340541,141341519,2997,2001,0.0,789.0
SDMP01000015.1,XM_057593477.1,83.399,1771,284,7,151829582,151831350,1986,224,0.0,1633.0
SDMP01000015.1,XM_057593919.1,86.406,1486,194,4,147170414,147171895,1607,3088,0.0,1618.0
SDMP01000015.1,XM_057593919.1,96.429,84,3,0,147152660,147152743,3005,3088,7.34e-27,139.0
SDMP01000015.1,XM_057573707.1,83.475,1767,262,21,145692871,145694621,1632,3384,0.0,1618.0
SDMP01000015.1,XM_057590539.1,78.301,2613,492,53,5519184,5521760,237,2810,0.0,1615.0
SDMP01000015.1,XM_057590539.1,75.785,2610,558,53,11147627,11150193,2812,234,0.0,1251.0
SDMP01000015.1,XM_057567628.1,79.63,2327,409,43,1631881,1634189,2605,326,0.0,1611.0
SDMP01000015.1,XM_057567568.1,79.354,2354,426,47,3717920,3720246,2748,428,0.0,1600.0
SDMP01000015.1,XM_057592098.1,79.61,2256,438,17,84463801,84466036,1128,3381,0.0,1598.0
SDMP01000015.1,XM_057592098.1,83.696,368,60,0,84466361,84466728,3373,3740,1.12e-89,348.0
SDMP01000015.1,XM_057592098.1,81.132,106,7,7,84462640,84462745,139,231,7.55e-07,73.1
SDMP01000015.1,XM_057594210.1,82.328,1856,308,16,142116811,142118656,710,2555,0.0,1592.0
SDMP01000015.1,XM_057591874.1,82.109,1878,321,11,37949984,37951858,2956,1091,0.0,1592.0
SDMP01000015.1,XM_057584922.1,79.277,2297,456,19,93223758,93226044,2564,278,0.0,1589.0
SDMP01000015.1,XM_057591476.1,81.717,1969,299,31,26226042,26227968,2125,176,0.0,1585.0
SDMP01000015.1,XM_057591476.1,80.208,288,46,11,26225629,26225914,2405,2127,7.14e-47,206.0
SDMP01000015.1,XM_057594138.1,80.49,2081,378,16,143368384,143370459,2519,462,0.0,1568.0
SDMP01000015.1,XM_057590727.1,86.447,1424,185,5,25781351,25782767,185,1607,0.0,1554.0
SDMP01000015.1,XM_057590726.1,86.447,1424,185,5,25781351,25782767,185,1607,0.0,1554.0
SDMP01000015.1,XM_057591468.1,86.804,1364,180,0,9008553,9009916,1147,2510,0.0,1522.0
SDMP01000015.1,XM_057591468.1,83.779,598,95,2,9012728,9013324,3740,4336,2.84e-155,566.0
SDMP01000015.1,XM_057591468.1,85.827,381,53,1,9007602,9007982,771,1150,2.36e-106,403.0
SDMP01000015.1,XM_057591468.1,89.84,187,19,0,9012163,9012349,3549,3735,1.96e-57,241.0
SDMP01000015.1,XM_057591468.1,94.118,102,6,0,9011773,9011874,3448,3549,7.290000000000001e-32,156.0
SDMP01000015.1,XM_057591468.1,86.614,127,17,0,9011549,9011675,3325,3451,2.04e-27,141.0
SDMP01000015.1,XM_057591468.1,87.952,83,4,3,9006977,9007058,198,275,5.8e-13,93.5
SDMP01000015.1,XM_057600861.1,81.68,1845,323,12,142116818,142118656,578,2413,0.0,1520.0
SDMP01000015.1,XM_057572279.1,81.994,1805,308,16,135139546,135141341,1905,109,0.0,1517.0
SDMP01000015.1,XM_057590008.1,85.625,1447,202,6,1621990,1623432,420,1864,0.0,1515.0
SDMP01000015.1,XM_057595484.1,79.127,2223,428,29,147430824,147433024,3217,1009,0.0,1502.0
SDMP01000015.1,XM_057595484.1,76.275,2765,592,41,15843940,15846651,2889,136,0.0,1413.0
SDMP01000015.1,XM_057595484.1,76.041,2137,471,35,15885888,15887998,2257,136,0.0,1072.0
SDMP01000015.1,XM_057595484.1,73.798,2183,489,55,15808294,15810403,2885,713,0.0,785.0
SDMP01000015.1,XM_057595484.1,84.286,70,11,0,147433051,147433120,205,136,9.77e-06,69.4
SDMP01000015.1,XM_057595479.1,79.127,2223,428,29,147430824,147433024,4890,2682,0.0,1502.0
SDMP01000015.1,XM_057595479.1,76.275,2765,592,41,15843940,15846651,4562,1809,0.0,1413.0
SDMP01000015.1,XM_057595479.1,76.041,2137,471,35,15885888,15887998,3930,1809,0.0,1072.0
SDMP01000015.1,XM_057595479.1,73.798,2183,489,55,15808294,15810403,4558,2386,0.0,785.0
SDMP01000015.1,XM_057595479.1,84.286,70,11,0,147433051,147433120,1878,1809,9.77e-06,69.4
SDMP01000015.1,XM_057591513.1,80.665,1955,320,30,28561164,28563095,2871,952,0.0,1463.0
SDMP01000015.1,XM_057591513.1,79.959,1951,350,21,28534381,28536324,2870,954,0.0,1399.0
SDMP01000015.1,XM_057591513.1,78.233,2003,383,30,28558803,28560783,5133,3162,0.0,1234.0
SDMP01000015.1,XM_057591513.1,78.43,1822,344,30,28532173,28533974,4961,3169,0.0,1142.0
SDMP01000015.1,XM_057591513.1,89.008,373,38,2,28563193,28563562,946,574,4.9600000000000004e-123,459.0
SDMP01000015.1,XM_057591513.1,86.863,373,46,2,28536427,28536796,946,574,1.09e-109,414.0
SDMP01000015.1,XM_057591513.1,93.103,116,8,0,28532049,28532164,5145,5030,2.6e-36,171.0
SDMP01000015.1,XM_057591513.1,83.333,162,18,6,28564434,28564591,558,402,2.04e-27,141.0
SDMP01000015.1,XM_057577348.1,85.035,1430,212,2,23992804,23994232,1980,552,0.0,1454.0
SDMP01000015.1,XM_057572978.1,86.294,1306,177,2,148117047,148118351,9048,7744,0.0,1419.0
SDMP01000015.1,XM_057572978.1,86.109,1231,165,5,148127629,148128856,2883,1656,0.0,1321.0
SDMP01000015.1,XM_057572978.1,86.887,999,126,3,148125974,148126971,3875,2881,0.0,1114.0
SDMP01000015.1,XM_057572978.1,88.203,551,65,0,148113158,148113708,11317,10767,0.0,658.0
SDMP01000015.1,XM_057572978.1,82.567,631,99,6,148120801,148121421,6304,5675,3.7e-149,545.0
SDMP01000015.1,XM_057572978.1,86.842,342,41,4,148125535,148125874,4210,3871,3.97e-99,379.0
SDMP01000015.1,XM_057572978.1,84.507,355,52,3,148119787,148120139,6917,6564,1.12e-89,348.0
SDMP01000015.1,XM_057572978.1,88.095,294,33,2,148116045,148116337,9600,9308,1.12e-89,348.0
SDMP01000015.1,XM_057572978.1,82.1,419,54,8,148119118,148119530,7318,6915,6.74e-87,339.0
SDMP01000015.1,XM_057572978.1,92.544,228,17,0,148124631,148124858,4690,4463,1.4599999999999999e-83,327.0
SDMP01000015.1,XM_057572978.1,79.226,491,73,16,148115481,148115970,10060,9598,1.1400000000000001e-79,315.0
SDMP01000015.1,XM_057572978.1,86.364,286,39,0,148113835,148114120,10772,10487,4.0900000000000006e-79,313.0
SDMP01000015.1,XM_057572978.1,87.356,261,33,0,148124940,148125200,4473,4213,3.18e-75,300.0
SDMP01000015.1,XM_057572978.1,86.973,261,34,0,148120224,148120484,6566,6306,1.48e-73,294.0
SDMP01000015.1,XM_057572978.1,86.283,226,31,0,148122113,148122338,5641,5416,4.2e-59,246.0
SDMP01000015.1,XM_057572978.1,89.032,155,17,0,148122743,148122897,5197,5043,5.56e-43,193.0
SDMP01000015.1,XM_057572978.1,87.324,71,7,2,148130357,148130426,1449,1380,4.51e-09,80.5
SDMP01000015.1,XM_057571959.1,84.507,1420,212,8,32302000,32303415,1778,363,0.0,1397.0
SDMP01000015.1,XM_057571959.1,88.105,765,86,3,32300663,32301426,2535,1775,0.0,904.0
SDMP01000015.1,XM_057571956.1,84.507,1420,212,8,32302000,32303415,1778,363,0.0,1397.0
SDMP01000015.1,XM_057571956.1,88.105,765,86,3,32300663,32301426,2535,1775,0.0,904.0
SDMP01000015.1,XM_057571957.1,84.507,1420,212,8,32302000,32303415,1779,364,0.0,1397.0
SDMP01000015.1,XM_057571957.1,88.105,765,86,3,32300663,32301426,2536,1776,0.0,904.0
SDMP01000015.1,XM_057580861.1,80.276,1881,339,15,128355269,128357145,195,2047,0.0,1389.0
SDMP01000015.1,XM_057581487.1,82.763,1578,248,14,3808087,3809661,1866,310,0.0,1386.0
SDMP01000015.1,XM_057567203.1,79.787,1974,345,37,10332121,10334085,2075,147,0.0,1386.0
SDMP01000015.1,XM_057594128.1,83.548,1477,241,2,143458006,143459481,1887,412,0.0,1380.0
SDMP01000015.1,XM_057594175.1,82.114,1627,276,9,142520696,142522310,2019,396,0.0,1378.0
SDMP01000015.1,XM_057592378.1,80.149,1879,345,12,128355269,128357145,291,2143,0.0,1378.0
SDMP01000015.1,XM_057568040.1,87.962,1163,135,5,140041243,140042402,158,1318,0.0,1367.0
SDMP01000015.1,XM_057568040.1,87.279,904,113,2,140041473,140042375,160,1062,0.0,1031.0
SDMP01000015.1,XM_057568040.1,84.939,903,134,2,140041245,140042146,388,1289,0.0,913.0
SDMP01000015.1,XM_057568040.1,85.905,674,95,0,140041701,140042374,160,833,0.0,719.0
SDMP01000015.1,XM_057568040.1,85.275,455,67,0,140041929,140042383,160,614,2.29e-126,470.0
SDMP01000015.1,XM_057568040.1,82.648,219,38,0,140042157,140042375,160,378,1.54e-43,195.0
SDMP01000015.1,XM_057591244.1,77.248,2391,505,28,5519376,5521754,474,2837,0.0,1365.0
SDMP01000015.1,XM_057591244.1,76.679,2457,534,31,11204393,11206831,2845,410,0.0,1327.0
SDMP01000015.1,XM_057591244.1,75.532,2583,571,50,11147641,11150200,2831,287,0.0,1212.0
SDMP01000015.1,XM_057591244.1,74.186,2487,565,60,11141768,11144214,2780,331,0.0,965.0
SDMP01000015.1,XM_057591244.1,78.596,285,55,6,11147197,11147478,3124,2843,3.34e-40,183.0
SDMP01000015.1,XM_057594243.1,83.345,1465,231,13,141698298,141699755,1139,2597,0.0,1341.0
SDMP01000015.1,XM_057594243.1,80.468,727,129,8,141696748,141697472,256,971,1.33e-148,544.0
SDMP01000015.1,XM_057594243.1,85.606,132,19,0,141697586,141697717,969,1100,7.34e-27,139.0
SDMP01000015.1,XM_057580064.1,80.606,1748,317,18,11523986,11525722,92,1828,0.0,1330.0
SDMP01000015.1,XM_057594129.1,82.917,1481,248,5,143458003,143459481,1759,282,0.0,1328.0
SDMP01000015.1,XM_057591246.1,76.477,2572,527,57,11147627,11150168,2714,191,0.0,1327.0
SDMP01000015.1,XM_057591246.1,76.638,2457,531,36,11204393,11206829,2714,281,0.0,1317.0
SDMP01000015.1,XM_057591246.1,80.835,407,69,8,11147075,11147478,3112,2712,1.47e-78,311.0
SDMP01000015.1,XM_057590873.1,82.261,1539,266,7,22042513,22044047,1812,277,0.0,1323.0
SDMP01000015.1,XM_057566157.1,85.292,1285,183,5,9235647,9236928,1458,177,0.0,1321.0
SDMP01000015.1,XM_057566157.1,84.837,1286,185,8,9247877,9249156,1458,177,0.0,1286.0
SDMP01000015.1,XM_057566157.1,90.909,121,11,0,26103504,26103624,480,600,4.36e-34,163.0
SDMP01000015.1,XM_057593524.1,81.722,1603,273,14,152393788,152395383,2006,417,0.0,1319.0
SDMP01000015.1,XM_057593524.1,79.375,1537,258,38,152391476,152392996,3553,2060,0.0,1027.0
SDMP01000015.1,XM_057593456.1,79.54,1911,343,38,151360703,151362592,2139,256,0.0,1319.0
SDMP01000015.1,XM_057590502.1,82.649,1510,230,23,4622784,4624271,259,1758,0.0,1308.0
SDMP01000015.1,XM_057590502.1,82.252,1510,259,5,4624679,4626182,1755,3261,0.0,1295.0
SDMP01000015.1,XM_057590502.1,90.541,222,21,0,4628294,4628515,4521,4742,1.48e-73,294.0
SDMP01000015.1,XM_057590502.1,92.611,203,15,0,4627396,4627598,3881,4083,5.32e-73,292.0
SDMP01000015.1,XM_057590502.1,89.634,164,17,0,4628049,4628212,4359,4522,5.519999999999999e-48,209.0
SDMP01000015.1,XM_057590502.1,83.234,167,28,0,4626386,4626552,3258,3424,2.62e-31,154.0
SDMP01000015.1,XM_057596086.1,82.392,1505,260,4,4624679,4626182,1709,3209,0.0,1306.0
SDMP01000015.1,XM_057596086.1,82.588,1499,232,18,4622793,4624271,223,1712,0.0,1295.0
SDMP01000015.1,XM_057596086.1,91.441,222,19,0,4628294,4628515,4469,4690,6.8400000000000005e-77,305.0
SDMP01000015.1,XM_057596086.1,92.683,205,15,0,4627396,4627600,3829,4033,4.1199999999999995e-74,296.0
SDMP01000015.1,XM_057596086.1,92.073,164,13,0,4628049,4628212,4307,4470,1.18e-54,231.0
SDMP01000015.1,XM_057599136.1,81.136,1707,249,44,15654684,15656334,2594,4283,0.0,1301.0
SDMP01000015.1,XM_057599136.1,77.65,1745,349,28,15687963,15689685,14210,15935,0.0,1024.0
SDMP01000015.1,XM_057599136.1,80.926,907,166,6,15665172,15666074,6402,7305,0.0,710.0
SDMP01000015.1,XM_057599136.1,86.726,113,15,0,15650732,15650844,1495,1607,5.72e-23,126.0
SDMP01000015.1,XM_057590455.1,86.239,1199,160,3,4006854,4008048,728,1925,0.0,1295.0
SDMP01000015.1,XM_057586977.1,84.262,1328,201,8,30315091,30316414,2400,1077,0.0,1288.0
SDMP01000015.1,XM_057586978.1,84.262,1328,201,8,30315091,30316414,2415,1092,0.0,1288.0
SDMP01000015.1,XM_057590149.1,78.2,2078,398,46,1152822,1154876,185,2230,0.0,1277.0
SDMP01000015.1,XM_057590149.1,77.889,597,120,8,1155616,1156206,2642,3232,1.44e-93,361.0
SDMP01000015.1,XM_057590149.1,86.774,310,41,0,1157257,1157566,3904,4213,4.0299999999999996e-89,346.0
SDMP01000015.1,XM_057590149.1,84.543,317,49,0,1155000,1155316,2235,2551,1.1400000000000001e-79,315.0
SDMP01000015.1,XM_057590149.1,88.263,213,25,0,1156971,1157183,3690,3902,6.99e-62,255.0
SDMP01000015.1,XM_057590149.1,90.476,84,8,0,1155410,1155493,2556,2639,1.6e-18,111.0
SDMP01000015.1,XM_057589002.1,82.962,1438,195,27,152376370,152377791,2766,4169,0.0,1253.0
SDMP01000015.1,XM_057589002.1,89.384,471,48,2,152378360,152378829,4362,4831,4.69e-163,592.0
SDMP01000015.1,XM_057589002.1,91.176,204,18,0,152375120,152375323,2302,2505,1.4899999999999998e-68,278.0
SDMP01000015.1,XM_057589002.1,91.875,160,11,2,152375657,152375815,2612,2770,7.09e-52,222.0
SDMP01000015.1,XM_057589002.1,83.898,236,32,3,152373213,152373445,1665,1897,2.55e-51,220.0
SDMP01000015.1,XM_057589002.1,91.391,151,13,0,152372679,152372829,1353,1503,1.98e-47,207.0
SDMP01000015.1,XM_057589002.1,92.424,132,10,0,152374485,152374616,2056,2187,7.19e-42,189.0
SDMP01000015.1,XM_057589002.1,86.747,166,22,0,152372972,152373137,1503,1668,9.3e-41,185.0
SDMP01000015.1,XM_057589002.1,91.667,132,9,2,152370101,152370231,589,719,1.1999999999999999e-39,182.0
SDMP01000015.1,XM_057589002.1,92.063,126,10,0,152370751,152370876,880,1005,1.5599999999999999e-38,178.0
SDMP01000015.1,XM_057589002.1,92.373,118,9,0,152374885,152375002,2188,2305,9.36e-36,169.0
SDMP01000015.1,XM_057569246.1,81.451,1558,258,20,201135,202675,1209,2752,0.0,1247.0
SDMP01000015.1,XM_057569246.1,88.0,250,29,1,200229,200478,615,863,1.48e-73,294.0
SDMP01000015.1,XM_057569246.1,88.152,211,19,2,200818,201028,1007,1211,4.2e-59,246.0
SDMP01000015.1,XM_057569246.1,82.222,270,36,9,199469,199729,295,561,7.09e-52,222.0
SDMP01000015.1,XM_057569244.1,81.451,1558,258,20,201135,202675,1586,3129,0.0,1247.0
SDMP01000015.1,XM_057569244.1,88.0,250,29,1,200229,200478,992,1240,1.48e-73,294.0
SDMP01000015.1,XM_057569244.1,88.152,211,19,2,200818,201028,1384,1588,4.2e-59,246.0
SDMP01000015.1,XM_057569244.1,82.222,270,36,9,199469,199729,672,938,7.09e-52,222.0
SDMP01000015.1,XM_057592395.1,78.498,2037,322,60,129944779,129946760,2263,288,0.0,1229.0
SDMP01000015.1,XM_057590110.1,77.697,2076,419,38,1152823,1154875,569,2623,0.0,1229.0
SDMP01000015.1,XM_057590110.1,78.511,591,115,11,1155616,1156200,3035,3619,1.43e-98,377.0
SDMP01000015.1,XM_057590110.1,87.619,315,39,0,1155000,1155314,2628,2942,3.0899999999999996e-95,366.0
SDMP01000015.1,XM_057590110.1,86.174,311,43,0,1157256,1157566,4296,4606,2.4300000000000003e-86,337.0
SDMP01000015.1,XM_057590110.1,85.714,84,12,0,1155410,1155493,2949,3032,7.5e-12,89.8
SDMP01000015.1,XM_057590644.1,86.782,1097,143,2,5887745,5888840,619,1714,0.0,1221.0
SDMP01000015.1,XM_057590644.1,80.079,763,141,9,5891958,5892712,3960,4719,1.7099999999999999e-152,556.0
SDMP01000015.1,XM_057590644.1,84.848,528,80,0,5889384,5889911,1990,2517,2.8800000000000002e-145,532.0
SDMP01000015.1,XM_057590644.1,83.55,462,75,1,5887147,5887607,161,622,1.08e-114,431.0
SDMP01000015.1,XM_057590644.1,85.753,372,52,1,5876738,5877108,2100,2471,5.100000000000001e-103,392.0
SDMP01000015.1,XM_057590644.1,83.535,413,66,2,5956139,5956549,2512,2100,8.54e-101,385.0
SDMP01000015.1,XM_057597319.1,88.866,988,110,0,35344579,35345566,5466,4479,0.0,1216.0
SDMP01000015.1,XM_057597319.1,87.263,369,45,2,35347702,35348069,3989,3622,2.34e-111,420.0
SDMP01000015.1,XM_057597319.1,88.818,313,35,0,35368807,35369119,1283,971,8.54e-101,385.0
SDMP01000015.1,XM_057597319.1,87.087,333,43,0,35347294,35347626,4304,3972,1.43e-98,377.0
SDMP01000015.1,XM_057597319.1,89.5,200,21,0,35352866,35353065,2807,2608,2.51e-61,254.0
SDMP01000015.1,XM_057597319.1,90.86,186,17,0,35348803,35348988,3304,3119,3.25e-60,250.0
SDMP01000015.1,XM_057597319.1,92.899,169,12,0,35363898,35364066,1718,1550,4.2e-59,246.0
SDMP01000015.1,XM_057597319.1,88.953,172,17,2,35361754,35361923,2200,2029,1.53e-48,211.0
SDMP01000015.1,XM_057597319.1,95.42,131,6,0,35354577,35354707,2611,2481,5.519999999999999e-48,209.0
SDMP01000015.1,XM_057597319.1,87.432,183,22,1,35348229,35348411,3629,3448,5.519999999999999e-48,209.0
SDMP01000015.1,XM_057597319.1,90.541,148,14,0,35355814,35355961,2483,2336,4.29e-44,196.0
SDMP01000015.1,XM_057597319.1,93.805,113,7,0,35360138,35360250,2302,2190,2.6e-36,171.0
SDMP01000015.1,XM_057597319.1,88.722,133,15,0,35352081,35352213,2935,2803,4.36e-34,163.0
SDMP01000015.1,XM_057593988.1,80.373,1661,268,39,145418141,145419782,1640,19,0.0,1208.0
SDMP01000015.1,XM_057591036.1,86.667,1095,134,10,16262484,16263570,2901,1811,0.0,1203.0
